iter	Passed	Remaining
0	54	21698
1	59	11842
2	64	8540
3	70	6979
4	73	5834
5	78	5185
6	83	4708
7	90	4423
8	95	4132
9	99	3873
10	105	3729
11	110	3588
12	115	3427
13	120	3309
14	123	3165
15	126	3035
16	132	2983
17	135	2876
18	139	2787
19	143	2719
20	147	2657
21	152	2611
22	155	2552
23	159	2499
24	162	2441
25	166	2393
26	169	2341
27	173	2302
28	178	2288
29	183	2262
30	189	2259
31	193	2224
32	197	2198
33	201	2166
34	206	2148
35	210	2125
36	214	2101
37	217	2072
38	222	2058
39	226	2042
40	231	2025
41	237	2028
42	242	2013
43	246	1991
44	249	1968
45	253	1950
46	259	1946
47	264	1942
48	274	1969
49	288	2016
50	294	2012
51	300	2008
52	306	2004
53	312	2000
54	318	1998
55	324	1993
56	330	1987
57	336	1981
58	341	1976
59	347	1970
60	360	2001
61	374	2043
62	378	2024
63	388	2039
64	392	2023
65	396	2006
66	402	2001
67	407	1988
68	410	1970
69	415	1959
70	419	1945
71	423	1929
72	429	1923
73	437	1927
74	443	1921
75	450	1918
76	454	1907
77	462	1908
78	475	1931
79	480	1921
80	485	1912
81	489	1897
82	495	1892
83	500	1884
84	504	1869
85	509	1860
86	516	1859
87	528	1874
88	537	1878
89	545	1877
90	551	1874
91	558	1869
92	565	1868
93	572	1863
94	582	1869
95	590	1871
96	598	1870
97	605	1864
98	613	1865
99	617	1851
100	622	1842
101	626	1830
102	630	1819
103	635	1808
104	638	1795
105	647	1796
106	656	1798
107	666	1802
108	676	1806
109	682	1799
110	692	1803
111	703	1807
112	712	1810
113	723	1813
114	733	1818
115	755	1848
116	766	1853
117	776	1855
118	787	1859
119	800	1867
120	810	1867
121	819	1867
122	830	1870
123	840	1871
124	849	1869
125	859	1868
126	876	1884
127	886	1883
128	895	1881
129	903	1877
130	912	1873
131	921	1870
132	930	1868
133	938	1862
134	944	1853
135	951	1846
136	957	1837
137	960	1823
138	966	1814
139	972	1806
140	978	1798
141	984	1788
142	991	1781
143	995	1770
144	1000	1759
145	1006	1750
146	1011	1740
147	1016	1730
148	1021	1721
149	1026	1710
150	1028	1696
151	1034	1688
152	1042	1682
153	1047	1672
154	1053	1665
155	1059	1657
156	1064	1647
157	1070	1639
158	1074	1628
159	1081	1621
160	1088	1615
161	1096	1610
162	1102	1603
163	1108	1595
164	1118	1592
165	1125	1586
166	1132	1580
167	1140	1574
168	1146	1567
169	1153	1560
170	1157	1550
171	1163	1542
172	1170	1535
173	1176	1527
174	1183	1521
175	1189	1513
176	1202	1514
177	1211	1511
178	1221	1507
179	1230	1504
180	1240	1501
181	1249	1497
182	1259	1493
183	1267	1488
184	1277	1484
185	1287	1481
186	1296	1476
187	1305	1472
188	1315	1468
189	1324	1464
190	1334	1460
191	1344	1456
192	1358	1456
193	1367	1452
194	1377	1448
195	1390	1447
196	1399	1441
197	1404	1432
198	1413	1427
199	1419	1419
200	1429	1415
201	1438	1409
202	1445	1403
203	1454	1397
204	1463	1391
205	1490	1403
206	1501	1399
207	1509	1393
208	1516	1385
209	1520	1376
210	1527	1367
211	1532	1359
212	1538	1350
213	1543	1341
214	1562	1344
215	1594	1358
216	1612	1359
217	1638	1368
218	1646	1360
219	1657	1356
220	1665	1348
221	1717	1376
222	1764	1400
223	1789	1406
224	1809	1407
225	1824	1404
226	1834	1398
227	1847	1394
228	1857	1386
229	1867	1380
230	1879	1374
231	1890	1368
232	1900	1362
233	1911	1355
234	1920	1348
235	1935	1344
236	1946	1338
237	1956	1331
238	1967	1325
239	1977	1318
240	1988	1311
241	2002	1307
242	2017	1303
243	2028	1296
244	2040	1290
245	2053	1285
246	2063	1278
247	2073	1270
248	2083	1263
249	2092	1255
250	2102	1248
251	2112	1240
252	2122	1233
253	2134	1227
254	2144	1219
255	2152	1210
256	2160	1202
257	2164	1191
258	2179	1186
259	2192	1180
260	2201	1172
261	2211	1164
262	2224	1158
263	2234	1151
264	2242	1142
265	2252	1134
266	2262	1126
267	2271	1118
268	2278	1109
269	2284	1099
270	2290	1090
271	2297	1081
272	2304	1072
273	2311	1062
274	2317	1053
275	2323	1043
276	2331	1035
277	2342	1027
278	2351	1020
279	2360	1011
280	2369	1003
281	2378	995
282	2388	987
283	2398	979
284	2402	969
285	2407	959
286	2411	949
287	2416	939
288	2420	929
289	2425	920
290	2429	910
291	2433	900
292	2438	890
293	2442	880
294	2447	871
295	2452	861
296	2456	851
297	2461	842
298	2467	833
299	2471	823
300	2475	814
301	2479	804
302	2483	795
303	2488	785
304	2495	777
305	2502	768
306	2519	763
307	2545	760
308	2557	753
309	2569	745
310	2581	738
311	2590	730
312	2597	721
313	2604	713
314	2612	705
315	2621	696
316	2628	688
317	2635	679
318	2644	671
319	2653	663
320	2661	655
321	2670	646
322	2679	638
323	2689	630
324	2694	621
325	2699	612
326	2707	604
327	2715	596
328	2731	589
329	2751	583
330	2763	576
331	2780	569
332	2797	562
333	2813	555
334	2830	549
335	2842	541
336	2857	534
337	2866	525
338	2877	517
339	2895	510
340	2911	503
341	2922	495
342	2932	487
343	2952	480
344	2959	471
345	2966	462
346	2972	454
347	2979	445
348	2986	436
349	2991	427
350	2995	418
351	3000	409
352	3004	400
353	3009	391
354	3014	382
355	3041	375
